,Items,(Ordered) Frequent Items
821,"['Tea Powder', 'Ghee', 'Sugar', 'Bread', 'Lassi']","['Ghee', 'Bread', 'Sugar', 'Lassi', 'Tea Powder']"
822,"['Ghee', 'Butter', 'Lassi', 'Panner', 'Yougurt']","['Ghee', 'Yougurt', 'Butter', 'Panner', 'Lassi']"
823,"['Ghee', 'Cheese', 'Butter', 'Sweet', 'Yougurt', 'Milk']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Butter', 'Cheese']"
824,"['Cheese', 'Tea Powder', 'Panner', 'Bread', 'Ghee', 'Milk', 'Butter', 'Lassi']","['Milk', 'Ghee', 'Bread', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
825,"['Ghee', 'Lassi', 'Cheese', 'Sweet', 'Panner', 'Coffee Powder', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Cheese', 'Panner', 'Lassi']"
826,"['Ghee', 'Bread']","['Ghee', 'Bread']"
827,"['Milk', 'Bread', 'Cheese', 'Coffee Powder', 'Sugar', 'Tea Powder']","['Milk', 'Coffee Powder', 'Bread', 'Sugar', 'Cheese', 'Tea Powder']"
828,"['Sweet', 'Tea Powder', 'Coffee Powder', 'Cheese']","['Coffee Powder', 'Sweet', 'Cheese', 'Tea Powder']"
829,"['Milk', 'Tea Powder', 'Coffee Powder', 'Sweet', 'Lassi', 'Sugar']","['Milk', 'Coffee Powder', 'Sweet', 'Sugar', 'Lassi', 'Tea Powder']"
830,"['Tea Powder', 'Bread', 'Ghee']","['Ghee', 'Bread', 'Tea Powder']"
831,"['Sweet', 'Ghee', 'Tea Powder', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Sweet', 'Tea Powder']"
832,"['Ghee', 'Yougurt']","['Ghee', 'Yougurt']"
833,"['Lassi', 'Coffee Powder', 'Sugar', 'Tea Powder', 'Sweet', 'Panner']","['Coffee Powder', 'Sweet', 'Sugar', 'Panner', 'Lassi', 'Tea Powder']"
834,"['Panner', 'Bread', 'Sugar', 'Butter', 'Lassi']","['Bread', 'Sugar', 'Butter', 'Panner', 'Lassi']"
835,"['Ghee', 'Yougurt', 'Lassi', 'Sweet', 'Bread', 'Milk']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Lassi']"
836,"['Tea Powder', 'Coffee Powder']","['Coffee Powder', 'Tea Powder']"
837,"['Milk', 'Butter', 'Cheese', 'Panner', 'Yougurt', 'Bread', 'Lassi']","['Milk', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Panner', 'Lassi']"
838,"['Milk', 'Butter', 'Ghee', 'Yougurt', 'Tea Powder', 'Lassi', 'Sweet', 'Sugar']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Lassi', 'Tea Powder']"
839,"['Milk', 'Yougurt', 'Lassi']","['Milk', 'Yougurt', 'Lassi']"
840,"['Tea Powder', 'Ghee', 'Sweet', 'Yougurt']","['Ghee', 'Yougurt', 'Sweet', 'Tea Powder']"
841,"['Sweet', 'Bread', 'Tea Powder', 'Yougurt', 'Coffee Powder']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Tea Powder']"
842,"['Milk', 'Ghee', 'Cheese', 'Bread', 'Butter', 'Sugar', 'Lassi', 'Panner', 'Tea Powder']","['Milk', 'Ghee', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
843,"['Tea Powder', 'Butter', 'Cheese', 'Sugar', 'Sweet', 'Milk', 'Panner', 'Yougurt', 'Lassi']","['Milk', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
844,"['Milk', 'Butter', 'Yougurt', 'Tea Powder']","['Milk', 'Yougurt', 'Butter', 'Tea Powder']"
845,"['Yougurt', 'Lassi', 'Ghee', 'Panner', 'Cheese', 'Coffee Powder', 'Sugar']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
846,"['Ghee', 'Yougurt', 'Bread', 'Cheese', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Cheese']"
847,"['Cheese', 'Yougurt', 'Panner', 'Bread']","['Yougurt', 'Bread', 'Cheese', 'Panner']"
848,"['Sugar', 'Milk', 'Ghee']","['Milk', 'Ghee', 'Sugar']"
849,"['Tea Powder', 'Yougurt', 'Lassi', 'Panner']","['Yougurt', 'Panner', 'Lassi', 'Tea Powder']"
850,"['Yougurt', 'Sugar', 'Bread', 'Ghee', 'Panner']","['Ghee', 'Yougurt', 'Bread', 'Sugar', 'Panner']"
851,"['Lassi', 'Coffee Powder', 'Ghee', 'Milk', 'Panner', 'Yougurt']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Panner', 'Lassi']"
852,"['Milk', 'Tea Powder', 'Bread', 'Panner']","['Milk', 'Bread', 'Panner', 'Tea Powder']"
853,"['Bread', 'Ghee', 'Butter', 'Tea Powder', 'Sweet', 'Cheese', 'Lassi']","['Ghee', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
854,"['Yougurt', 'Ghee', 'Lassi', 'Milk', 'Butter', 'Sugar', 'Tea Powder', 'Sweet']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Lassi', 'Tea Powder']"
855,"['Milk', 'Panner']","['Milk', 'Panner']"
856,"['Lassi', 'Sweet']","['Sweet', 'Lassi']"
857,"['Ghee', 'Cheese']","['Ghee', 'Cheese']"
858,"['Lassi', 'Sugar', 'Panner', 'Butter']","['Sugar', 'Butter', 'Panner', 'Lassi']"
859,"['Yougurt', 'Sugar', 'Sweet', 'Butter', 'Coffee Powder', 'Panner', 'Ghee', 'Lassi']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Lassi']"
860,"['Tea Powder', 'Panner', 'Ghee', 'Bread']","['Ghee', 'Bread', 'Panner', 'Tea Powder']"
861,"['Tea Powder', 'Lassi', 'Ghee', 'Sweet', 'Milk']","['Milk', 'Ghee', 'Sweet', 'Lassi', 'Tea Powder']"
862,"['Coffee Powder', 'Sugar', 'Bread', 'Cheese', 'Lassi', 'Ghee', 'Tea Powder']","['Ghee', 'Coffee Powder', 'Bread', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
863,"['Butter', 'Panner', 'Coffee Powder', 'Bread', 'Lassi', 'Cheese']","['Coffee Powder', 'Bread', 'Butter', 'Cheese', 'Panner', 'Lassi']"
864,"['Panner', 'Sugar', 'Butter', 'Lassi', 'Cheese', 'Bread', 'Ghee', 'Sweet', 'Tea Powder']","['Ghee', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
865,"['Tea Powder', 'Ghee', 'Butter', 'Yougurt', 'Lassi', 'Coffee Powder', 'Sugar', 'Cheese']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
866,"['Panner', 'Sugar', 'Bread', 'Butter', 'Yougurt', 'Sweet', 'Tea Powder']","['Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Tea Powder']"
867,"['Coffee Powder', 'Bread', 'Butter', 'Ghee', 'Lassi', 'Yougurt', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Lassi']"
868,"['Butter', 'Bread', 'Milk', 'Panner', 'Lassi', 'Sweet', 'Tea Powder']","['Milk', 'Bread', 'Sweet', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
869,"['Milk', 'Cheese', 'Butter', 'Sweet', 'Sugar', 'Panner']","['Milk', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner']"
870,"['Bread', 'Ghee', 'Coffee Powder', 'Yougurt', 'Milk', 'Lassi', 'Cheese', 'Sugar', 'Butter']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
871,"['Milk', 'Sugar', 'Yougurt']","['Milk', 'Yougurt', 'Sugar']"
872,"['Cheese', 'Bread', 'Butter', 'Coffee Powder', 'Milk', 'Tea Powder']","['Milk', 'Coffee Powder', 'Bread', 'Butter', 'Cheese', 'Tea Powder']"
873,"['Yougurt', 'Sweet', 'Milk', 'Sugar', 'Panner', 'Bread', 'Tea Powder']","['Milk', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Panner', 'Tea Powder']"
874,"['Panner', 'Ghee', 'Bread', 'Tea Powder', 'Sweet', 'Butter', 'Yougurt', 'Sugar']","['Ghee', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Tea Powder']"
875,"['Panner', 'Tea Powder', 'Bread', 'Milk', 'Cheese', 'Sugar']","['Milk', 'Bread', 'Sugar', 'Cheese', 'Panner', 'Tea Powder']"
876,"['Sugar', 'Cheese', 'Ghee']","['Ghee', 'Sugar', 'Cheese']"
877,"['Butter', 'Yougurt']","['Yougurt', 'Butter']"
878,"['Cheese', 'Coffee Powder', 'Tea Powder']","['Coffee Powder', 'Cheese', 'Tea Powder']"
879,"['Sweet', 'Butter', 'Coffee Powder', 'Bread']","['Coffee Powder', 'Bread', 'Sweet', 'Butter']"
880,"['Cheese', 'Coffee Powder', 'Yougurt', 'Lassi']","['Coffee Powder', 'Yougurt', 'Cheese', 'Lassi']"
881,"['Tea Powder', 'Yougurt', 'Coffee Powder', 'Cheese', 'Milk', 'Ghee']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Cheese', 'Tea Powder']"
882,"['Lassi', 'Panner', 'Cheese']","['Cheese', 'Panner', 'Lassi']"
883,"['Cheese', 'Panner', 'Butter', 'Yougurt', 'Bread', 'Milk', 'Ghee']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Panner']"
884,"['Butter', 'Sugar', 'Ghee', 'Sweet', 'Bread', 'Milk', 'Tea Powder', 'Lassi']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Lassi', 'Tea Powder']"
885,"['Bread', 'Sugar', 'Coffee Powder', 'Milk', 'Butter', 'Cheese']","['Milk', 'Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Cheese']"
886,"['Butter', 'Coffee Powder', 'Lassi', 'Tea Powder']","['Coffee Powder', 'Butter', 'Lassi', 'Tea Powder']"
887,"['Ghee', 'Sweet', 'Lassi', 'Tea Powder', 'Butter', 'Milk', 'Yougurt', 'Panner']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
888,"['Bread', 'Sweet', 'Yougurt', 'Cheese', 'Sugar', 'Coffee Powder']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Cheese']"
889,"['Coffee Powder', 'Cheese', 'Yougurt', 'Lassi', 'Panner', 'Sugar']","['Coffee Powder', 'Yougurt', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
890,"['Yougurt', 'Ghee', 'Lassi', 'Sweet', 'Coffee Powder', 'Bread', 'Sugar', 'Tea Powder', 'Butter']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Lassi', 'Tea Powder']"
891,"['Lassi', 'Milk', 'Yougurt', 'Cheese', 'Sweet', 'Butter', 'Panner', 'Ghee']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi']"
892,"['Yougurt', 'Sugar', 'Coffee Powder', 'Panner', 'Lassi', 'Ghee']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Panner', 'Lassi']"
893,"['Sugar', 'Sweet', 'Panner', 'Butter', 'Yougurt']","['Yougurt', 'Sweet', 'Sugar', 'Butter', 'Panner']"
894,"['Coffee Powder', 'Bread', 'Cheese']","['Coffee Powder', 'Bread', 'Cheese']"
895,"['Butter', 'Milk']","['Milk', 'Butter']"
896,"['Panner', 'Coffee Powder', 'Tea Powder', 'Bread']","['Coffee Powder', 'Bread', 'Panner', 'Tea Powder']"
897,"['Sweet', 'Butter', 'Panner', 'Coffee Powder', 'Yougurt', 'Sugar', 'Cheese']","['Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner']"
898,"['Bread', 'Yougurt', 'Sugar', 'Sweet', 'Cheese', 'Panner']","['Yougurt', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Panner']"
899,"['Ghee', 'Milk', 'Bread', 'Sweet', 'Sugar']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Sugar']"
900,"['Tea Powder', 'Ghee', 'Lassi', 'Sugar', 'Coffee Powder', 'Butter', 'Sweet']","['Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Lassi', 'Tea Powder']"
901,"['Cheese', 'Tea Powder']","['Cheese', 'Tea Powder']"
902,"['Panner', 'Yougurt']","['Yougurt', 'Panner']"
903,"['Bread', 'Sugar', 'Tea Powder', 'Milk']","['Milk', 'Bread', 'Sugar', 'Tea Powder']"
904,"['Sugar', 'Yougurt', 'Coffee Powder', 'Ghee', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sugar']"
905,"['Ghee', 'Milk', 'Butter', 'Yougurt', 'Panner', 'Sugar']","['Milk', 'Ghee', 'Yougurt', 'Sugar', 'Butter', 'Panner']"
906,"['Yougurt', 'Bread']","['Yougurt', 'Bread']"
907,"['Coffee Powder', 'Butter', 'Tea Powder', 'Panner', 'Ghee', 'Sweet', 'Yougurt', 'Cheese']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
908,"['Yougurt', 'Sweet', 'Cheese', 'Sugar', 'Tea Powder', 'Ghee']","['Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Cheese', 'Tea Powder']"
909,"['Cheese', 'Sugar', 'Coffee Powder', 'Lassi', 'Milk', 'Ghee', 'Sweet', 'Bread', 'Butter', 'Yougurt']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
910,"['Coffee Powder', 'Yougurt', 'Panner', 'Lassi', 'Butter', 'Sweet']","['Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Panner', 'Lassi']"
911,"['Coffee Powder', 'Butter', 'Milk', 'Ghee', 'Lassi', 'Bread']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Butter', 'Lassi']"
912,"['Butter', 'Ghee', 'Panner', 'Cheese', 'Yougurt']","['Ghee', 'Yougurt', 'Butter', 'Cheese', 'Panner']"
913,"['Cheese', 'Sweet']","['Sweet', 'Cheese']"
914,"['Lassi', 'Butter', 'Sugar', 'Ghee', 'Yougurt', 'Sweet', 'Bread']","['Ghee', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Lassi']"
915,"['Cheese', 'Sugar', 'Coffee Powder']","['Coffee Powder', 'Sugar', 'Cheese']"
916,"['Sugar', 'Coffee Powder']","['Coffee Powder', 'Sugar']"
917,"['Lassi', 'Yougurt', 'Coffee Powder', 'Sweet', 'Panner', 'Milk', 'Sugar', 'Bread']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Panner', 'Lassi']"
918,"['Panner', 'Sugar', 'Tea Powder', 'Cheese', 'Yougurt', 'Ghee']","['Ghee', 'Yougurt', 'Sugar', 'Cheese', 'Panner', 'Tea Powder']"
919,"['Butter', 'Panner', 'Lassi', 'Bread', 'Coffee Powder', 'Ghee', 'Yougurt']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Panner', 'Lassi']"
920,"['Yougurt', 'Lassi', 'Tea Powder', 'Bread', 'Milk']","['Milk', 'Yougurt', 'Bread', 'Lassi', 'Tea Powder']"
921,"['Sugar', 'Sweet', 'Milk', 'Coffee Powder', 'Panner', 'Yougurt', 'Lassi']","['Milk', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Panner', 'Lassi']"
922,"['Milk', 'Butter', 'Ghee', 'Sugar', 'Yougurt', 'Sweet', 'Panner']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Panner']"
923,"['Yougurt', 'Bread', 'Tea Powder', 'Milk', 'Sweet']","['Milk', 'Yougurt', 'Bread', 'Sweet', 'Tea Powder']"
924,"['Cheese', 'Tea Powder', 'Yougurt', 'Bread', 'Sugar', 'Milk']","['Milk', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Tea Powder']"
925,"['Ghee', 'Panner']","['Ghee', 'Panner']"
926,"['Tea Powder', 'Coffee Powder', 'Milk', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Sugar']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Tea Powder']"
927,"['Sweet', 'Bread', 'Butter', 'Milk', 'Tea Powder']","['Milk', 'Bread', 'Sweet', 'Butter', 'Tea Powder']"
928,"['Lassi', 'Panner', 'Ghee', 'Tea Powder', 'Milk', 'Sweet']","['Milk', 'Ghee', 'Sweet', 'Panner', 'Lassi', 'Tea Powder']"
929,"['Sugar', 'Tea Powder', 'Yougurt']","['Yougurt', 'Sugar', 'Tea Powder']"
930,"['Yougurt', 'Bread', 'Cheese', 'Sweet', 'Milk', 'Butter', 'Lassi', 'Ghee', 'Tea Powder']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
931,"['Bread', 'Lassi', 'Coffee Powder', 'Ghee']","['Ghee', 'Coffee Powder', 'Bread', 'Lassi']"
932,"['Coffee Powder', 'Lassi', 'Yougurt', 'Tea Powder', 'Butter', 'Cheese', 'Milk', 'Bread']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
933,"['Milk', 'Panner', 'Cheese', 'Lassi', 'Sugar', 'Ghee', 'Bread']","['Milk', 'Ghee', 'Bread', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
934,"['Bread', 'Butter', 'Yougurt', 'Sweet']","['Yougurt', 'Bread', 'Sweet', 'Butter']"
935,"['Yougurt', 'Sugar', 'Lassi']","['Yougurt', 'Sugar', 'Lassi']"
936,"['Yougurt', 'Panner', 'Ghee', 'Coffee Powder', 'Butter']","['Ghee', 'Coffee Powder', 'Yougurt', 'Butter', 'Panner']"
937,"['Sweet', 'Ghee', 'Cheese', 'Milk', 'Yougurt']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Cheese']"
938,"['Lassi', 'Ghee', 'Panner', 'Tea Powder', 'Sugar']","['Ghee', 'Sugar', 'Panner', 'Lassi', 'Tea Powder']"
939,"['Coffee Powder', 'Cheese']","['Coffee Powder', 'Cheese']"
940,"['Butter', 'Sweet', 'Yougurt', 'Cheese', 'Bread', 'Tea Powder', 'Ghee', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Tea Powder']"
941,"['Lassi', 'Yougurt', 'Sugar']","['Yougurt', 'Sugar', 'Lassi']"
942,"['Panner', 'Yougurt']","['Yougurt', 'Panner']"
943,"['Coffee Powder', 'Milk', 'Yougurt', 'Ghee', 'Cheese', 'Bread']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Cheese']"
944,"['Lassi', 'Bread', 'Tea Powder', 'Ghee', 'Cheese', 'Panner', 'Sweet', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
945,"['Sweet', 'Ghee', 'Milk', 'Coffee Powder', 'Cheese']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Cheese']"
946,"['Butter', 'Sugar', 'Milk', 'Lassi', 'Yougurt', 'Panner', 'Sweet']","['Milk', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Lassi']"
947,"['Milk', 'Yougurt', 'Coffee Powder', 'Ghee', 'Bread']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread']"
948,"['Ghee', 'Butter', 'Sweet', 'Lassi', 'Panner', 'Coffee Powder', 'Cheese']","['Ghee', 'Coffee Powder', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi']"
949,"['Ghee', 'Tea Powder', 'Bread', 'Sweet', 'Panner']","['Ghee', 'Bread', 'Sweet', 'Panner', 'Tea Powder']"
950,"['Sugar', 'Milk', 'Panner']","['Milk', 'Sugar', 'Panner']"
951,"['Milk', 'Yougurt', 'Lassi', 'Sugar', 'Butter', 'Cheese']","['Milk', 'Yougurt', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
952,"['Tea Powder', 'Lassi', 'Panner', 'Yougurt', 'Sweet', 'Coffee Powder', 'Bread']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Panner', 'Lassi', 'Tea Powder']"
953,"['Ghee', 'Tea Powder']","['Ghee', 'Tea Powder']"
954,"['Sugar', 'Sweet', 'Lassi', 'Butter', 'Bread', 'Ghee', 'Milk']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Lassi']"
955,"['Coffee Powder', 'Panner', 'Ghee', 'Sweet', 'Milk', 'Yougurt', 'Tea Powder', 'Lassi', 'Cheese', 'Butter']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
956,"['Cheese', 'Lassi', 'Ghee']","['Ghee', 'Cheese', 'Lassi']"
957,"['Milk', 'Yougurt', 'Ghee', 'Sugar', 'Tea Powder', 'Lassi']","['Milk', 'Ghee', 'Yougurt', 'Sugar', 'Lassi', 'Tea Powder']"
958,"['Bread', 'Butter']","['Bread', 'Butter']"
959,"['Coffee Powder', 'Sweet', 'Bread', 'Tea Powder', 'Panner', 'Sugar', 'Lassi']","['Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Panner', 'Lassi', 'Tea Powder']"
960,"['Tea Powder', 'Sugar']","['Sugar', 'Tea Powder']"
961,"['Yougurt', 'Cheese', 'Lassi', 'Sugar', 'Sweet', 'Coffee Powder', 'Tea Powder', 'Panner', 'Bread', 'Butter']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
962,"['Sweet', 'Sugar', 'Ghee']","['Ghee', 'Sweet', 'Sugar']"
963,"['Butter', 'Yougurt']","['Yougurt', 'Butter']"
964,"['Tea Powder', 'Bread', 'Lassi']","['Bread', 'Lassi', 'Tea Powder']"
965,"['Sugar', 'Lassi', 'Coffee Powder', 'Butter', 'Tea Powder']","['Coffee Powder', 'Sugar', 'Butter', 'Lassi', 'Tea Powder']"
966,"['Butter', 'Bread', 'Sweet', 'Cheese']","['Bread', 'Sweet', 'Butter', 'Cheese']"
967,"['Sweet', 'Bread', 'Sugar']","['Bread', 'Sweet', 'Sugar']"
968,"['Milk', 'Butter', 'Lassi', 'Ghee', 'Sweet', 'Cheese', 'Bread']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Lassi']"
969,"['Cheese', 'Ghee', 'Sugar', 'Milk', 'Tea Powder']","['Milk', 'Ghee', 'Sugar', 'Cheese', 'Tea Powder']"
970,"['Lassi', 'Panner', 'Cheese', 'Coffee Powder', 'Butter', 'Sweet', 'Tea Powder']","['Coffee Powder', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
971,"['Coffee Powder', 'Ghee', 'Butter', 'Yougurt', 'Panner']","['Ghee', 'Coffee Powder', 'Yougurt', 'Butter', 'Panner']"
972,"['Tea Powder', 'Sweet', 'Yougurt', 'Ghee', 'Sugar', 'Butter', 'Milk', 'Lassi']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Lassi', 'Tea Powder']"
973,"['Butter', 'Panner', 'Sugar', 'Lassi', 'Yougurt', 'Tea Powder']","['Yougurt', 'Sugar', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
974,"['Tea Powder', 'Yougurt', 'Cheese', 'Panner', 'Bread', 'Butter', 'Sweet']","['Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
975,"['Sweet', 'Ghee', 'Panner', 'Butter', 'Bread', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Butter', 'Panner']"
976,"['Lassi', 'Milk']","['Milk', 'Lassi']"
977,"['Sugar', 'Yougurt', 'Lassi', 'Milk', 'Butter', 'Ghee', 'Bread']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Lassi']"
978,"['Sweet', 'Lassi', 'Yougurt', 'Bread', 'Cheese', 'Ghee', 'Butter']","['Ghee', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Lassi']"
979,"['Butter', 'Coffee Powder', 'Milk', 'Cheese', 'Sweet', 'Sugar', 'Tea Powder']","['Milk', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Tea Powder']"
980,"['Bread', 'Sweet']","['Bread', 'Sweet']"
981,"['Sugar', 'Lassi', 'Tea Powder']","['Sugar', 'Lassi', 'Tea Powder']"
982,"['Yougurt', 'Milk', 'Ghee']","['Milk', 'Ghee', 'Yougurt']"
983,"['Butter', 'Sweet', 'Coffee Powder', 'Panner', 'Sugar']","['Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Panner']"
984,"['Tea Powder', 'Butter', 'Yougurt']","['Yougurt', 'Butter', 'Tea Powder']"
985,"['Yougurt', 'Bread', 'Butter', 'Milk', 'Tea Powder', 'Sweet', 'Lassi']","['Milk', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Lassi', 'Tea Powder']"
986,"['Lassi', 'Sugar', 'Tea Powder', 'Bread', 'Ghee']","['Ghee', 'Bread', 'Sugar', 'Lassi', 'Tea Powder']"
987,"['Butter', 'Panner', 'Sweet', 'Milk', 'Lassi', 'Tea Powder']","['Milk', 'Sweet', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
988,"['Butter', 'Sugar']","['Sugar', 'Butter']"
989,"['Yougurt', 'Butter', 'Bread', 'Ghee', 'Lassi']","['Ghee', 'Yougurt', 'Bread', 'Butter', 'Lassi']"
990,"['Tea Powder', 'Milk', 'Yougurt', 'Panner', 'Lassi', 'Ghee', 'Bread']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Panner', 'Lassi', 'Tea Powder']"
991,"['Coffee Powder', 'Sugar', 'Tea Powder', 'Butter']","['Coffee Powder', 'Sugar', 'Butter', 'Tea Powder']"
992,"['Lassi', 'Milk', 'Cheese', 'Sugar']","['Milk', 'Sugar', 'Cheese', 'Lassi']"
993,"['Bread', 'Tea Powder', 'Milk', 'Butter']","['Milk', 'Bread', 'Butter', 'Tea Powder']"
994,"['Coffee Powder', 'Milk']","['Milk', 'Coffee Powder']"
995,"['Sugar', 'Ghee']","['Ghee', 'Sugar']"
996,"['Cheese', 'Butter', 'Milk', 'Yougurt', 'Sweet', 'Bread', 'Ghee', 'Panner']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Panner']"
997,"['Tea Powder', 'Lassi', 'Yougurt', 'Sugar']","['Yougurt', 'Sugar', 'Lassi', 'Tea Powder']"
